Network for 3D retina angiogenesis, hexagonal periodic
335.000000  350.000000  230.000000	box dimensions in microns
  20   21    14  	number of tissue points in x,y,z directions
  0.000000			outer bound distance (100. in test case)
  75.000000			max. segment length.  (5. in test case)
  40				nodsegm, max. number of segments per node
  12  				total number of segments 
name type from  to  diam       flow
1	4	1	2	8	0	0.4
2	3	2	3	4	0	0.4
5	5	3	10	4	0	0.4
6	5	10	13	4	0	0.4
7	4	11	12	16	0	0.4
8	3	12	13	4	0	0.4
11  4   20  21  16  0   0.4
12  4   21  22  16  0   0.4
13  4   23  24  16  0   0.4
14  4   24  25  16  0   0.4
15  4   26  27  16  0   0.4
16  4   27  28  16  0   0.4
28       total number of nodes
name	x	y	z
1	16	87.5	230
2	53.83416575	109.375	230
3	91.72277717	131.25	230
4	91.72277717	131.25	201.25
5	91.72277717	131.25	172.5
6	91.72277717	131.25	143.75
7	91.72277717	131.25	115
8	91.72277717	131.25	86.25
9	91.72277717	131.25	57.5
10	167.5	175	230
11	319.0544457	262.5	230
12	281.1658342	240.625	230
13	243.2772228	218.75	230
14	243.2772228	218.75	201.25
15	243.2772228	218.75	172.5
16	243.2772228	218.75	143.75
17	243.2772228	218.75	115
18	243.2772228	218.75	86.25
19	243.2772228	218.75	57.5
20	15.94555434	87.5	0
21	167.5	175	0
22	319.0544457	262.5	0
23	116.9818514	29.16666667	0
24	218.0181486	87.5	0
25	319.0544457	145.8333333	0
26	15.94555434	204.1666667	0
27	116.9818514	262.5	0
28	218.0181486	320.8333333	0

8  total number of boundary nodes
node bctyp press/flow   HD    PO2
	1	  0   60.00	  0.400000	  100.000000 
	11	  0	  15.000	  0.400000	  18.000000
    20	  2	  10.000	  0.400000	  100.000000
    22	  0	  20.000	  0.400000	  18.000000
    23	  0	  20.000	  0.400000	  18.000000
    25	  2	  10.000	  0.400000	  100.000000
    26	  0	  20.000	  0.400000	  18.000000
	28	  2	  10.000	  0.400000	  100.000000
    
